# This file is called deployed_time5.dat
# Nth listener time to add
#Thread	time in seconds
1	0.8081760406494140625
2	1.3282749652862548828
3	1.0237059593200683594
4	1.1186461448669433594
5	0.8294539451599121094
6	1.5506651401519775391
7	0.8381941318511962891
8	1.2522411346435546875
9	0.9498469829559326172
10	1.7732441425323486328
11	0.8402869701385498047
12	2.8062140941619873047
13	0.9675629138946533203
14	1.5863690376281738281
15	1.2838051319122314453
16	1.6975169181823730469
17	1.1902928352355957031
18	1.9115591049194335938
19	1.3014459609985351562
20	1.9205970764160156250
21	1.9249298572540283203
22	2.7483599185943603516
23	1.5243461132049560547
24	2.0409300327301025391
25	1.4305179119110107422
26	2.2543599605560302734
27	1.4396378993988037109
28	2.3656580448150634766
29	1.7557799816131591797
30	2.1700918674468994141
31	1.5597808361053466797
32	2.2814860343933105469
33	1.6716802120208740234
34	2.2901260852813720703
35	1.7822959423065185547
36	2.5043580532073974609
37	1.8940229415893554688
38	2.3088469505310058594
39	2.2104148864746093750
40	2.5225841999053955078
41	2.1167700290679931641
42	2.3257720470428466797
43	2.2279629707336425781
44	2.7441589832305908203
45	2.0338759422302246094
46	2.5485701560974121094
47	2.2471239566802978516
48	2.7621090412139892578
49	2.4591841697692871094
50	2.8733160495758056641
51	2.2634639739990234375
52	2.6772649288177490234
53	2.3748848438262939453
54	2.5838770866394042969
55	2.2813208103179931641
56	2.6952569484710693359
57	2.4960920810699462891
58	3.1136469841003417969
59	2.4013268947601318359
60	3.0200691223144531250
61	2.8234620094299316406
62	3.0290319919586181641
63	2.5209441184997558594
64	3.3447630405426025391
65	2.9396240711212158203
66	3.2512428760528564453
67	2.7436378002166748047
68	3.2604269981384277344
69	2.7527151107788085938
70	3.2692170143127441406
71	2.9661080837249755859
72	3.3801939487457275391
73	3.2829189300537109375
74	4.0038840770721435547
75	3.0413689613342285156
76	3.3917648792266845703
77	2.9813120365142822266
78	3.3331577777862548828
79	3.2461481094360351562
80	3.4598701000213623047
81	3.2916209697723388672
82	3.4747719764709472656
83	3.2026150226593017578
84	3.5692739486694335938
85	3.4334499835968017578
86	3.8935837745666503906
87	3.5822849273681640625
88	3.7657480239868164062
89	3.8181669712066650391
90	4.1209130287170410156
91	3.6744859218597412109
92	3.9085030555725097656
93	3.5030920505523681641
94	3.8753950595855712891
95	3.7663531303405761719
96	3.9262180328369140625
97	5.1130340099334716797
98	4.1248879432678222656
99	3.8089580535888671875
100	4.2584519386291503906
